"DateTime","Depth","mod_chla","obs_chla"
2016-07-14,"8",4.45409549491247,5.8739
2016-07-14,"9",1.53206765908027,3.3177
2016-07-21,"0.1",2.4616229839641,1.953
2016-07-21,"1",2.46211250916867,2.1445
2016-07-21,"10",5.44684666519142,2.5582
2016-07-21,"11",NA,3.2462
2016-07-21,"2",2.50262498065857,2.4547
2016-07-21,"3",3.34289676730912,5.3382
2016-07-21,"4",3.55257410813512,7.1222
2016-07-21,"5",3.83450427036885,7.343
2016-07-21,"6",6.58704008106777,3.6187
2016-07-21,"7",10.3782155090382,9.8876
2016-07-21,"8",7.13863391596734,3.2301
2016-07-21,"9",4.98826555655478,3.3509
2016-07-24,"0.1",2.56050595640445,1.6143
2016-07-24,"1",2.56055069782915,1.8122
2016-07-24,"10",6.15305844320758,2.1697
2016-07-24,"11",NA,3.8258
2016-07-24,"2",2.57253105667002,2.8098
2016-07-24,"3",3.34840736800738,4.121
2016-07-24,"4",3.54876332080692,4.963
2016-07-24,"5",3.82093778797839,6.7681
2016-07-24,"6",7.34494238198287,3.0775
2016-07-24,"7",11.7529469315457,7.1339
2016-07-24,"8",7.95238938214124,3.007
2016-07-24,"9",6.15292895607928,2.4334
2016-07-28,"0.1",2.64043632583834,1.6081
2016-07-28,"1",2.64057932040079,1.6747
2016-07-28,"10",5.07966008702499,2.5027
2016-07-28,"11",NA,2.9864
2016-07-28,"2",2.64484934529941,1.8523
2016-07-28,"3",3.3272925969634,4.445
2016-07-28,"4",3.61560900843324,5.3519
2016-07-28,"5",3.85405418955857,4.8291
2016-07-28,"6",7.8877845685608,7.7497
2016-07-28,"7",12.3727467341618,5.9932
2016-07-28,"8",7.12135975026407,2.3806
2016-07-28,"9",1.86844377946774,2.4956
2016-08-11,"0.1",3.22109016793103,3.1488
2016-08-11,"1",3.22130197465961,4.9426
2016-08-11,"10",0.99763155668505,2.0698
2016-08-11,"11",NA,2.0347
2016-08-11,"2",3.29560189248155,4.0579
2016-08-11,"3",3.88483945966763,6.2756
2016-08-11,"4",5.16826669063131,4.4744
2016-08-11,"5",6.28463959260829,3.9236
2016-08-11,"6",9.89842207119491,7.2072
2016-08-11,"7",1.22553127059463,6.5035
2016-08-11,"8",0.935438166383729,3.8773
2016-08-11,"9",0.199540753646904,2.364
2016-08-18,"0.1",3.20514916804038,2.4539
2016-08-18,"1",3.205304828947,2.6192
2016-08-18,"10",0.735773890792271,2.4338
2016-08-18,"11",NA,2.7974
2016-08-18,"2",3.23152311963833,2.9532
2016-08-18,"3",4.0793797724913,3.2475
2016-08-18,"4",5.72945115497225,8.4928
2016-08-18,"5",7.16142152355537,5.5089
2016-08-18,"6",12.254815183061,8.3384
2016-08-18,"7",3.58524100039185,10.1449
2016-08-18,"8",0.666624776471788,5.2637
2016-08-18,"9",0.362865560046556,3.5617
2016-08-23,"0.1",3.20270876279938,2.2813
2016-08-23,"1",3.20307106507132,2.5811
2016-08-23,"10",1.28551293582491,2.5762
2016-08-23,"11",NA,2.4574
2016-08-23,"2",3.23633286148818,4.0066
2016-08-23,"3",4.21585307961823,4.5848
2016-08-23,"4",6.21994700912343,9.0184
2016-08-23,"5",7.85956673472972,6.3995
2016-08-23,"6",13.5293262955291,4.167
2016-08-23,"7",3.77127212683726,5.3803
2016-08-23,"8",1.34397731262769,3.1257
2016-08-23,"9",1.27959308792124,2.9999
2016-09-06,"0.1",3.22415527751414,5.2938
2016-09-06,"1",3.22862848338136,5.2741
2016-09-06,"10",7.052143831972,1.3676
2016-09-06,"11",NA,1.4444
2016-09-06,"2",3.43343565092233,6.066
2016-09-06,"3",5.28155154300646,6.749
2016-09-06,"4",7.58892699410139,6.8647
2016-09-06,"5",8.78622556741748,6.8408
2016-09-06,"6",8.32625435551405,7.8938
2016-09-06,"7",1.34355949373048,4.235
2016-09-06,"8",1.22009389892637,1.8381
2016-09-06,"9",4.18306222849754,1.5521
2016-09-16,"0.1",3.43982569419418,9.7589
2016-09-16,"1",3.4398995723514,10.3386
2016-09-16,"10",10.4560498901916,1.7377
2016-09-16,"11",NA,1.4728
2016-09-16,"2",3.50779282235223,10.3161
2016-09-16,"3",5.23785297362265,10.402
2016-09-16,"4",7.39998869879376,15.2985
2016-09-16,"5",8.8058910486538,12.776
2016-09-16,"6",9.0936911324615,19.3879
2016-09-16,"7",5.65108740552628,13.0989
2016-09-16,"8",6.43291189473298,2.183
2016-09-16,"9",10.4882575654864,1.1648
2016-09-17,"0.1",3.40519772838597,6.8814
2016-09-17,"1",3.40553430276467,9.2542
2016-09-17,"10",10.5347346760926,1.2812
2016-09-17,"11",NA,1.8407
2016-09-17,"2",3.49141144013538,7.9688
2016-09-17,"3",5.13600223798413,9.1875
2016-09-17,"4",7.19560369831448,9.169
2016-09-17,"5",8.61977409774873,17.9124
2016-09-17,"6",8.61303817765172,8.6776
2016-09-17,"7",5.62244536717981,3.7492
2016-09-17,"8",6.72152889901216,1.6013
2016-09-17,"9",10.537195258263,1.1718
2016-09-27,"0.1",3.46005931578163,4.1265
2016-09-27,"1",3.51568817919107,4.9395
2016-09-27,"10",1.98916935345736,0.8315
2016-09-27,"11",1.98694155416927,1.254
2016-09-27,"2",4.08093650138562,5.2315
2016-09-27,"3",5.59911165043284,5.9056
2016-09-27,"4",6.54963848611471,6.3494
2016-09-27,"5",6.66541348948716,5.7166
2016-09-27,"6",0.542237425120618,1.7307
2016-09-27,"7",0.542237425120618,2.1456
2016-09-27,"8",0.647369302208332,1.0407
2016-09-27,"9",1.88934400760427,0.8564
2016-10-11,"0.1",4.42229860088217,1.2391
2016-10-11,"1",4.45926419551057,1.9721
2016-10-11,"10",0.547467344042778,2.2334
2016-10-11,"11",0.547498197520702,1.5765
2016-10-11,"2",4.32288414529884,2.5519
2016-10-11,"3",2.73609824914128,2.4588
2016-10-11,"4",0.128188251596808,2.7339
2016-10-11,"5",0.128188251596808,2.7244
2016-10-11,"6",0.0564030966201289,2.1489
2016-10-11,"7",0.0564030966201289,3.6938
2016-10-11,"8",0.204760078463178,3.7894
2016-10-11,"9",0.521315344283607,2.2205
2016-11-11,"0.1",0.254350839304155,1.7426
2016-11-11,"1",0.254350839304155,1.9109
2016-11-11,"10",2.95322502700814,2.1525
2016-11-11,"11",2.95004979999673,2.5441
2016-11-11,"2",0.254350839304155,2.2899
2016-11-11,"3",0.254350839304155,2.2129
2016-11-11,"4",0.681593845512676,2.1832
2016-11-11,"5",0.285657746697173,2.1744
2016-11-11,"6",0.236662345379894,2.5673
2016-11-11,"7",0.281549794171472,2.3169
2016-11-11,"8",2.10447594565874,2.5144
2016-11-11,"9",2.9518471546664,2.3595
2017-03-17,"0.1",1.70762116637692,0.7966
2017-03-17,"1",1.70762116637692,1.1063
2017-03-17,"10",1.36926748977444,4.0648
2017-03-17,"11",NA,4.1602
2017-03-17,"2",1.70762116637692,2.1363
2017-03-17,"3",1.70762116637692,2.7556
2017-03-17,"4",1.70762116637692,3.29
2017-03-17,"5",1.70762116637692,3.553
2017-03-17,"6",1.70762116637692,3.8836
2017-03-17,"7",1.70764089554216,3.7886
2017-03-17,"8",1.79455677139173,4.0593
2017-03-17,"9",1.80116372740201,4.1285
2017-04-10,"0.1",0.266461628182971,1.5131
2017-04-10,"1",0.266473778001049,1.7503
2017-04-10,"10",2.71207359040993,2.6464
2017-04-10,"11",NA,1.718
2017-04-10,"2",0.266502203849191,1.7783
2017-04-10,"3",0.279928777403183,2.3782
2017-04-10,"4",0.28515323695545,3.9286
2017-04-10,"5",0.309139877720719,3.4771
2017-04-10,"6",0.440121791100853,3.8595
2017-04-10,"7",0.544243667315525,2.6991
2017-04-10,"8",2.20475641271795,3.1841
2017-04-10,"9",2.21299912376097,2.8779
2017-05-05,"0.1",1.15946863395658,0.9942
2017-05-05,"1",1.21244207948143,1.361
2017-05-05,"10",2.54804206773777,0.7611
2017-05-05,"11",NA,1.1696
2017-05-05,"2",1.32066176674784,2.4352
2017-05-05,"3",1.52161442744011,3.1501
2017-05-05,"4",1.94049115434354,3.8831
2017-05-05,"5",2.43339385533215,2.6929
2017-05-05,"6",2.88270297156539,2.6756
2017-05-05,"7",2.15686441278878,1.9023
2017-05-05,"8",0.69489252598092,0.8752
2017-05-05,"9",2.06668287751475,0.5212
2017-05-10,"0.1",1.64442543964215,1.6801
2017-05-10,"1",1.67352639587077,2.7364
2017-05-10,"10",2.38132655328506,0.5926
2017-05-10,"11",2.37983862652548,1.0376
2017-05-10,"2",1.7588452140521,2.5282
2017-05-10,"3",1.762266757436,2.5267
2017-05-10,"4",1.62223920674588,2.5739
2017-05-10,"5",1.17588890702264,1.7954
2017-05-10,"6",0.228665581097052,1.3299
2017-05-10,"7",0.228665581097052,1.1093
2017-05-10,"8",0.488463565947708,0.5554
2017-05-10,"9",1.28165070914387,0.6314
2018-05-04,"0.1",0.399483870737977,0.6787
2018-05-04,"1",0.417078792403563,1.2443
2018-05-04,"10",3.60944429450451,1.2351
2018-05-04,"11",NA,1.0566
2018-05-04,"2",0.514467558027206,1.9034
