"DateTime","Depth","mod_temp","obs_temp"
2018-05-17,"3",21.1902364502528,14.379
2018-05-17,"4",18.739476861952,12.0835
2018-05-17,"5",14.562614831807,10.3414
2018-05-17,"6",10.7882733548291,9.0406
2018-05-17,"7",10.2394863019136,8.2809
2018-05-17,"8",9.88925923117319,7.5158
2018-05-17,"9",7.90367630760313,7.2911
2018-05-24,"0.1",23.9751395784239,24.7273
2018-05-24,"1",23.9051173072754,23.3843
2018-05-24,"10",8.36783906522638,7.4253
2018-05-24,"11",8.0228703794374,7.2665
2018-05-24,"2",23.2498409868089,19.2069
2018-05-24,"3",23.1837667491565,17.0613
2018-05-24,"4",22.3090926412391,13.6913
2018-05-24,"5",19.9988605588468,11.6846
2018-05-24,"6",15.9363013514469,9.8702
2018-05-24,"7",13.9960556369271,8.6828
2018-05-24,"8",12.023459277914,8.0259
2018-05-24,"9",9.01293674159534,7.6289
2018-05-31,"0.1",25.2523110045678,24.2285
2018-05-31,"1",25.1985376720263,23.4664
2018-05-31,"10",7.99957491733957,7.4254
2018-05-31,"11",7.97257375959133,7.2554
2018-05-31,"2",24.1493485261023,21.7067
2018-05-31,"3",23.8844134394296,16.7249
2018-05-31,"4",22.8418282706856,14.4612
2018-05-31,"5",20.0915484607823,11.8329
2018-05-31,"6",13.310793376235,9.9113
2018-05-31,"7",11.6745478167162,8.9154
2018-05-31,"8",10.7861381053307,8.0445
2018-05-31,"9",8.3201240449404,7.5635
2018-06-07,"0.1",25.1107533588825,24.1634
2018-06-07,"1",25.1107530772848,23.9017
2018-06-07,"10",8.04693686090906,7.406
2018-06-07,"11",8.04912509912793,7.3243
2018-06-07,"2",25.1032383868616,22.2404
2018-06-07,"3",23.940646651067,17.8307
2018-06-07,"4",22.5165937568505,13.9105
2018-06-07,"5",19.6070259808553,11.7835
2018-06-07,"6",11.9975848158847,9.9388
2018-06-07,"7",10.9526552925874,8.9331
2018-06-07,"8",10.3927743619104,8.0955
2018-06-07,"9",8.12198070047624,7.6518
2018-06-14,"0.1",25.869851801147,24.0231
2018-06-14,"1",25.7080810115896,23.8054
2018-06-14,"10",8.14548036016017,7.5088
2018-06-14,"11",8.1418075028321,7.3746
2018-06-14,"2",22.2091130316956,23.2138
2018-06-14,"3",19.5655217691989,17.7653
2018-06-14,"4",18.9529155653847,14.6879
2018-06-14,"5",17.4217002361604,11.9363
2018-06-14,"6",12.3154112803535,9.9903
2018-06-14,"7",10.8963283076896,9.0001
2018-06-14,"8",10.2497000521206,8.1132
2018-06-14,"9",8.4659629753102,7.6632
2018-06-21,"0.1",29.4562495460768,27.3768
2018-06-21,"1",29.4049606074043,27.3757
2018-06-21,"10",8.24743911608638,7.6096
2018-06-21,"11",8.24878480590682,7.4817
2018-06-21,"2",26.4590891052674,22.9197
2018-06-21,"3",21.8095967020263,18.4661
2018-06-21,"4",20.7431887676142,14.1478
2018-06-21,"5",18.5211143028918,11.2025
2018-06-21,"6",11.4588174114424,9.649
2018-06-21,"7",10.8395649365211,8.7448
2018-06-21,"8",10.4542328979309,8.2353
